product_name,product_link,publisher_name,publisher_link
"13th Age","https://www.drivethrurpg.com/product/234486/13th-Age-Glorantha?SRC=FeaturedProduct&motds_id=11703&from_home=0&filters=45211_0_0_0_0","Pelgrane Press","https://site.pelgranepress.com/"
"Ancestry & Culture: An Alternative to Race in 5e","https://www.drivethrurpg.com/product/314622?affiliate_id=297003","Arcanist Press","https://arcanistpress.com/"
"Avatar Legends The RPG Quickstart","https://www.scribd.com/document/522715773/Avatar-Legends-the-RPG-Quickstart","Magpie Games","https://magpiegames.com/"
"Blackout in Crater Valley","https://goodman-games.com/store/product/blackout-in-crater-valley-print-pdf/","Goodman Games","https://goodman-games.com/"
"Blue Rose","https://blueroserpg.com/","Green Ronin","https://greenronin.com/"
"Chronicles of Darkness","http://theonyxpath.com/category/worlds/chroniclesofdarkness/","Onyx Path Publishing","http://theonyxpath.com/"
"Cyber Generation","https://talsorianstore.com/collections/cybergeneration/products/cybergeneration-1","Talsorian Games","https://rtalsoriangames.com/"
"Delta Green","https://shop.arcdream.com/products/delta-green-the-role-playing-game-hardback-slipcase-set","Arc Dream Publishing","https://www.delta-green.com/"
"Dissident Whispers","https://tuesdayknightgames.itch.io/dissident-whispers","Tuesday Knight Games","https://tuesdayknightgames.itch.io/"
"Five Torches Deep","https://www.drivethrurpg.com/product/264584/Five-Torches-Deep","Sigil Stone Publishing","https://www.sigilstonepublishing.com/"
"Kobold Guide to Gamemastering","https://koboldpress.com/kpstore/product/kobold-guide-to-gamemastering-pdf/","Kobold Press","https://koboldpress.com/"
"Mythras Core Rules","https://www.amazon.com/Mythras-Core-Rules-Pete-Nash/dp/1911471066","The Design Mechanism","http://thedesignmechanism.com/"
"Mörk Bork","https://www.drivethrurpg.com/product/295910","Stockholm Kartell","https://www.stockholmkartell.com/"
"Numenera","https://www.montecookgames.com/store/product/numenera-starter-set/","Monte Cook Games","https://www.montecookgames.com/"
"Over The Edge","https://atlas-games.com/overtheedge","Atlas Games","https://atlas-games.com/"
"RuneQuest - Roleplaying in Glorantha","https://www.chaosium.com/runequest-roleplaying-in-glorantha-hardcover/","Chaosium","https://www.chaosium.com/"
"Savage Worlds Adventure Edition","https://peginc.com/savage-settings/savage-worlds/","Pinnacle Entertainment","https://www.peginc.com/	"
"Shadowrun: Fifth Edition Core Rulebook","https://www.drivethrurpg.com/product/115985/Shadowrun-Fifth-Edition-Core-Rulebook-Master-Index-Edition?src=also_purchased","Catalyst Game Labs","https://www.catalystgamelabs.com/"
"Sharp Swords & Sinister Spells","https://www.drivethrurpg.com/product/198163/Sharp-Swords--Sinister-Spells","Old Skull Publishing","https://oldskull-publishing.com/"
"Thirsty Sword Lesbians","https://www.evilhat.com/home/thirsty-sword-lesbians/","Evil Hat Productions","https://www.evilhat.com/home/"
"Tiny Dungeon Second Edition","https://www.drivethrurpg.com/product/230298/Tiny-Dungeon-Second-Edition?src=hottest_filtered","Gallant Knight Games"," https://www.gallantknightgames.com/"
"V&V 3.0 Mighty Protectors","https://www.drivethrurpg.com/product/220501/VV-30-Mighty-Protectors?src=hottest_filtered","Monkey House Games","https://monkeyhousegames.com/"
"Vampire the Masquerade 5e","https://renegadegamestudios.com/vampire-the-masquerade-5th-ed-core-rulebook/?utm_source=website&utm_medium=website&utm_campaign=worldofdarkness&utm_content=button","Renegade Game Studios","https://renegadegamestudios.com/"
"Virgins & Vixens","https://www.drivethrurpg.com/product/329518/Virgins--Vixens","Golden Lasso Games","https://goldenlassogames.com/"
"Warhammer Fantasy Roleplay","https://www.cubicle7games.com/product/warhammer-fantasy-roleplay-rulebook/","Cubicle 7","https://www.cubicle7games.com/"
"Zweihander","https://www.amazon.com/gp/product/1524851663/","Grim and Perilous Games","https://grimandperilous.com/"
